ProjectName	TestCase	ApproachName	Policy	Time (ms)
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Array	SENECA	1-CFA	461
castor-testcases.jar	Ltestcases/TC_BindingType_List	SENECA	1-CFA	602
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_List	SENECA	1-CFA	523
castor-testcases.jar	Ltestcases/TC_AccessMode_Simple	SENECA	1-CFA	484
castor-testcases.jar	Ltestcases/TC_EventListenerList_List	SENECA	1-CFA	658
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Set	SENECA	1-CFA	571
castor-testcases.jar	Ltestcases/TC_AccessMode_Array	SENECA	1-CFA	496
castor-testcases.jar	Ltestcases/TC_EventListenerList_Map	SENECA	1-CFA	561
castor-testcases.jar	Ltestcases/TC_VisibilityType_Map	SENECA	1-CFA	661
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_List	SENECA	1-CFA	593
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Simple	SENECA	1-CFA	446
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Simple	SENECA	1-CFA	527
castor-testcases.jar	Ltestcases/TC_VisibilityType_Array	SENECA	1-CFA	432
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_List	SENECA	1-CFA	586
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Array	SENECA	1-CFA	452
castor-testcases.jar	Ltestcases/TC_BindingType_Array	SENECA	1-CFA	454
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Set	SENECA	1-CFA	583
castor-testcases.jar	Ltestcases/TC_BindingType_Set	SENECA	1-CFA	594
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Simple	SENECA	1-CFA	449
castor-testcases.jar	Ltestcases/TC_BindingType2_Map	SENECA	1-CFA	570
castor-testcases.jar	Ltestcases/TC_BindingType2_List	SENECA	1-CFA	608
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Array	SENECA	1-CFA	487
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_List	SENECA	1-CFA	598
castor-testcases.jar	Ltestcases/TC_VisibilityType_Simple	SENECA	1-CFA	496
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Set	SENECA	1-CFA	596
castor-testcases.jar	Ltestcases/TC_BindingType2_Array	SENECA	1-CFA	475
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Array	SENECA	1-CFA	474
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Array	SENECA	1-CFA	503
castor-testcases.jar	Ltestcases/TC_BindingType_Simple	SENECA	1-CFA	431
castor-testcases.jar	Ltestcases/TC_AccessMode_Set	SALSA	0-1-CFA	282
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Simple	SALSA	0-1-CFA	120
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Simple	SALSA	0-1-CFA	87
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Array	SALSA	0-1-CFA	128
castor-testcases.jar	Ltestcases/TC_AccessMode_Map	SALSA	0-1-CFA	209
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Simple	SALSA	0-1-CFA	101
castor-testcases.jar	Ltestcases/TC_EventListenerList_Set	SALSA	0-1-CFA	260
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_List	SALSA	0-1-CFA	171
castor-testcases.jar	Ltestcases/TC_EventListenerList_Array	SALSA	0-1-CFA	67
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Map	SALSA	0-1-CFA	227
castor-testcases.jar	Ltestcases/TC_BindingType2_Simple	SALSA	0-1-CFA	87
castor-testcases.jar	Ltestcases/TC_VisibilityType_Set	SALSA	0-1-CFA	134
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_List	SALSA	0-1-CFA	249
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_List	SALSA	0-1-CFA	193
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Map	SALSA	0-1-CFA	219
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Map	SALSA	0-1-CFA	147
castor-testcases.jar	Ltestcases/TC_BindingType_Map	SALSA	0-1-CFA	115
castor-testcases.jar	Ltestcases/TC_AccessMode_List	SALSA	0-1-CFA	241
castor-testcases.jar	Ltestcases/TC_VisibilityType_List	SALSA	0-1-CFA	109
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Set	SALSA	0-1-CFA	212
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Set	SALSA	0-1-CFA	194
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Map	SALSA	0-1-CFA	115
