ProjectName	TestCase	ApproachName	Policy	Time (ms)	#Extra Iterations
castor-testcases.jar	Ltestcases/TC_BindingType2_Array	SENECA	0-1-CFA	428	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Array	SENECA	0-1-CFA	394	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Array	SENECA	0-1-CFA	420	3
castor-testcases.jar	Ltestcases/TC_BindingType_Simple	SENECA	0-1-CFA	384	3
castor-testcases.jar	Ltestcases/TC_AccessMode_Set	SENECA	1-CFA	756	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Simple	SENECA	1-CFA	459	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Simple	SENECA	1-CFA	474	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Array	SENECA	1-CFA	530	3
castor-testcases.jar	Ltestcases/TC_AccessMode_Map	SENECA	1-CFA	609	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	1-CFA	453	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Set	SENECA	1-CFA	570	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_List	SENECA	1-CFA	559	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Array	SENECA	1-CFA	435	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	1-CFA	561	3
castor-testcases.jar	Ltestcases/TC_BindingType2_Simple	SENECA	1-CFA	424	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_Set	SENECA	1-CFA	558	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	1-CFA	552	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_List	SENECA	1-CFA	533	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	1-CFA	562	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Map	SENECA	1-CFA	573	3
castor-testcases.jar	Ltestcases/TC_BindingType_Map	SENECA	1-CFA	558	3
castor-testcases.jar	Ltestcases/TC_AccessMode_List	SENECA	1-CFA	542	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_List	SENECA	1-CFA	561	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	1-CFA	579	3
